hidden,dropout,epochs,weight_decay,nin,nout,alpha,mean_pehe,mean_mae_ate
100,0.1,200,0.0001,1,2,0.0001,14.484493679470486,11.1589658525255
100,0.1,200,0.0001,1,3,0.0001,14.512031979031033,11.187457826402452
100,0.1,200,0.0001,2,2,0.0001,14.492694483862984,11.156997150844997
100,0.1,200,0.0001,2,3,0.0001,14.53430207570394,11.167402320437962
100,0.1,200,1e-05,1,2,0.0001,14.483987172444662,11.166492780049643
100,0.1,200,1e-05,1,3,0.0001,14.554347462124294,11.209290716383192
100,0.1,200,1e-05,2,2,0.0001,14.526169459025065,11.178336991204155
100,0.1,200,1e-05,2,3,0.0001,14.512945440080431,11.156596183776855
100,0.1,300,0.0001,1,2,0.0001,14.715479162004259,11.21398237016466
100,0.1,300,0.0001,1,3,0.0001,14.784001615312365,11.295065773857964
100,0.1,300,0.0001,2,2,0.0001,14.624648412068685,11.21076864666409
100,0.1,300,0.0001,2,3,0.0001,14.716936376359728,11.261231846279568
100,0.1,300,1e-05,1,2,0.0001,14.727567195892334,11.24582905239529
100,0.1,300,1e-05,1,3,0.0001,14.750587039523655,11.258681350284153
100,0.1,300,1e-05,2,2,0.0001,14.64928568734063,11.222963439093697
100,0.1,300,1e-05,2,3,0.0001,14.761452992757162,11.236390431722006
200,0.1,200,0.0001,1,2,0.0001,14.826470692952475,11.296208911471897
200,0.1,200,0.0001,1,3,0.0001,14.765528678894043,11.250619305504692
200,0.1,200,0.0001,2,2,0.0001,14.652611149681938,11.206770261128744
200,0.1,200,0.0001,2,3,0.0001,14.598045667012533,11.166145377688938
200,0.1,200,1e-05,1,2,0.0001,14.788326899210611,11.264014667934841
200,0.1,200,1e-05,1,3,0.0001,14.780081325107151,11.245465490553114
200,0.1,200,1e-05,2,2,0.0001,14.72636349995931,11.248726897769505
200,0.1,200,1e-05,2,3,0.0001,14.66591665479872,11.202817704942492
200,0.1,300,0.0001,1,2,0.0001,14.97302320268419,11.311357021331787
200,0.1,300,0.0001,1,3,0.0001,14.97339677810669,11.312993897332085
200,0.1,300,0.0001,2,2,0.0001,14.773655785454643,11.246817482842339
200,0.1,300,0.0001,2,3,0.0001,14.903450965881348,11.344337728288439
200,0.1,300,1e-05,1,2,0.0001,15.016355514526367,11.327661090426975
200,0.1,300,1e-05,1,3,0.0001,15.059156523810493,11.345811631944445
200,0.1,300,1e-05,2,2,0.0001,14.921284092797173,11.297586652967665
200,0.1,300,1e-05,2,3,0.0001,14.98102225197686,11.346203168233236
100,0.1,200,0.0001,1,2,0.0001,15.105975257025825,11.45077821943495
100,0.1,200,0.0001,1,3,0.0001,14.945518069797092,11.268480671776665
100,0.1,200,0.0001,2,2,0.0001,14.699289321899414,11.269493103027344
100,0.1,200,0.0001,2,3,0.0001,14.403769705030653,11.04527759552002
100,0.1,200,1e-05,1,2,0.0001,14.700110912322998,10.97263272603353
100,0.1,200,1e-05,1,3,0.0001,15.153346273634169,11.431370629204643
100,0.1,200,1e-05,2,2,0.0001,14.932430108388266,11.387674490610758
100,0.1,200,1e-05,2,3,0.0001,14.905032634735107,11.401014698876274
100,0.1,300,0.0001,1,2,0.0001,14.87159644232856,11.109799173143175
100,0.1,300,0.0001,1,3,0.0001,15.156269550323486,11.42658519744873
100,0.1,300,0.0001,2,2,0.0001,14.515478981865776,11.09092468685574
100,0.1,300,0.0001,2,3,0.0001,14.852905167473686,11.304445266723633
100,0.1,300,1e-05,1,2,0.0001,14.611119270324707,10.777533107333714
100,0.1,300,1e-05,1,3,0.0001,15.139922989739311,11.345499992370605
100,0.1,300,1e-05,2,2,0.0001,14.662545045216879,11.142120679219564
100,0.1,300,1e-05,2,3,0.0001,15.07993385526869,11.472791035970053
200,0.1,200,0.0001,1,2,0.0001,15.084776560465494,11.378974384731716
200,0.1,200,0.0001,1,3,0.0001,15.10588746600681,11.408561971452501
200,0.1,200,0.0001,2,2,0.0001,14.68089379204644,11.161927435133192
200,0.1,200,0.0001,2,3,0.0001,14.77969143125746,11.325722323523628
200,0.1,200,1e-05,1,2,0.0001,15.318679491678873,11.53097152709961
200,0.1,200,1e-05,1,3,0.0001,15.589995596143934,11.860845512813992
200,0.1,200,1e-05,2,2,0.0001,15.079589260949028,11.476183891296387
200,0.1,200,1e-05,2,3,0.0001,14.495613680945503,10.990995989905464
200,0.1,300,0.0001,1,2,0.0001,15.399072117275661,11.701075024074978
200,0.1,300,0.0001,1,3,0.0001,15.513409614562988,11.778882026672363
200,0.1,300,0.0001,2,2,0.0001,14.625629954867893,11.119029521942139
200,0.1,300,0.0001,2,3,0.0001,14.690055264366997,11.144315719604492
200,0.1,300,1e-05,1,2,0.0001,15.147487163543701,11.321046140458849
200,0.1,300,1e-05,1,3,0.0001,15.35790072547065,11.463779873318142
200,0.1,300,1e-05,2,2,0.0001,14.821257909138998,11.223915153079563
200,0.1,300,1e-05,2,3,0.0001,15.111856460571289,11.516275670793322
